ID,Gender,MaritalStatus,EducationLevel,Field,Experience,Happiness,TakeAdditionalCourse,Position,Sector,Age,SatisfiedMySalary,WagePolicyFairness,SatisfiedNonWageCompensation,SatisfiedMyWork,SatisfiedMyOrganization,ManagementAttitude,WageReward,ColleaguesAttitude,WorkingConditions,JobSecurity,FinancialPerformance,NonFinancialPerformance
1,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Staff,State,41,Agree,Agree,Agree,Strongly agree,Strongly agree,4.17,4.14,4,4.83,4.5,3.75,4
2,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,State,37,Disagree,Disagree,Disagree,Agree,Agree,3.75,2.43,4.33,4.5,3.5,3,3.25
3,Female,Married,PhD,Education,11 - 15 Years,Yes,No,Mid-level manager,State,34,Agree,Agree,Agree,Agree,Agree,3.75,4,4.33,4,4.5,4,3.75
4,Male,Married,Bachelor,Health Care,6 - 10 Years,Yes,Yes,Mid-level manager,Private,28,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.92,1.86,3,2.5,3.5,1.5,2.25
5,Male,Married,Bachelor,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,38,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.75,1.86,3.67,3.83,4.5,3.5,3.75
6,Male,Married,PhD,Health Care,6 - 10 Years,No,Yes,Expert,Private,36,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.75,1.71,3.83,4.17,5,3.5,3.25
7,Male,Married,Master,Education,1 - 5 Years,Yes,No,Expert,Private,28,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,3.25,3.14,4,3.67,2,3,2.5
8,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,29,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.42,4.71,4.5,4.83,1,3,3.5
9,Female,Married,Master,Education,1 - 5 Years,Yes,Yes,Expert,Private,26,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,4,4.71,4.33,4.5,4,3.25,3
10,Male,Married,PhD,Education,11 - 15 Years,No,Yes,Staff,State,36,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,3.83,3.43,2.83,4.17,3,3,3
11,Female,Married,Master,Education,1 - 5 Years,Yes,No,Staff,State,27,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,3.17,2.57,3.83,2.5,1,2.75,2.25
12,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Senior manager,Private,33,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.83,4.14,4,4.67,4,3,3
13,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,33,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,3.75,4,4.67,4.33,2.5,3.5,3.25
14,Male,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Expert,Private,50,Strongly disagree,Strongly disagree,Agree,Agree,Agree,3.58,2.43,3.67,3.83,4.5,1.75,1.5
15,Male,Married,PhD,Health Care,21 + Years,Yes,Yes,Expert,Private,62,Agree,Agree,Agree,Strongly agree,Strongly agree,4.25,4.29,4.83,4.83,5,4.25,4.25
16,Female,Married,Bachelor,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,State,34,Disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,3.42,1.86,4.5,3.5,3,2.75,2.75
17,Female,Married,Master,Health Care,1 - 5 Years,Yes,No,Staff,State,25,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,2.92,3,3,2.83,3.5,3.25,4
18,Male,Married,PhD,Health Care,21 + Years,Yes,No,Expert,Private,47,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,2.42,2.86,2.83,3.33,4.5,3,2.25
19,Female,Married,Master,Health Care,11 - 15 Years,Yes,No,Staff,State,41,Neither agree nor disagree,Agree,Strongly disagree,Agree,Agree,2.17,2.29,1.5,2.83,5,4,4
20,Male,Married,Master,Health Care,16 - 20 Years,Yes,No,Staff,State,42,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,3.25,1.29,4.17,1.83,5,3,2.25
21,Male,Married,Master,Health Care,16 - 20 Years,Yes,No,Staff,State,42,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,3.17,1.29,3.33,1.5,5,2.75,1.5
